OBJECTID,FRAARCID,FRFRANODE,TOFRANODE,STFIPS,CNTYFIPS,STCNTYFIPS,STATEAB,COUNTRY,FRADISTRCT,RROWNER1,RROWNER2,RROWNER3,TRKRGHTS1,TRKRGHTS2,TRKRGHTS3,TRKRGHTS4,TRKRGHTS5,TRKRGHTS6,TRKRGHTS7,TRKRGHTS8,TRKRGHTS9,DIVISION,SUBDIV,BRANCH,YARDNAME,PASSNGR,STRACNET,TRACKS,NET,MILES,KM,TIMEZONE,Shape__Length
103,300146,324711,325486,41,063,41063,OR,US,8,WURR,,,,,,,,,,,,#N\A,,#N\A,,T,,1,M,8.19566015167762,13.1896628704672,P,0.144627647834474
121,300170,324144,324294,41,063,41063,OR,US,8,WURR,,,,,,,,,,,,#N\A,,#N\A,,T,,1,M,8.4895479382685,13.6626303624255,P,0.151858766883505
124,300177,325598,325695,41,063,41063,OR,US,8,WURR,,,,,,,,,,,,#N\A,,#N\A,,T,,1,M,5.14489724808286,8.27992607667082,P,0.0799226111452987
125,300178,324294,324488,41,063,41063,OR,US,8,WURR,,,,,,,,,,,,#N\A,,#N\A,,T,,1,M,7.1927700366718,11.5756644532264,P,0.133336398986589
293,300426,308543,308584,53,041,53041,WA,US,8,TRMW,,,MRSR,,,,,,,,,MOUNTAIN,MOUNTAIN - EAST,MORTON,,T,,1,X,0.467646106242288,0.75260496041431,P,0.00771265700495465
604,300833,327921,327898,16,085,16085,ID,US,8,INPR,,,,,,,,,,,,IDAHO,THUNDER MOUNTAIN,#N\A,,T,,1,X,5.66241689266225,9.1127948772944,M,0.0920498459094267
1259,301638,300368,300370,02,261,02261,AK,US,8,ARR,,,,,,,,,,,,ALASKA,WHITTIER,WHITTIER BRANCH,WHITTIER,D,C,1,M,0.563473504230488,0.906824516841344,K,0.0162267686152891
1267,301657,300368,300366,02,261,02261,AK,US,8,ARR,,,,,,,,,,,,ALASKA,WHITTIER,WHITTIER BRANCH,,D,C,1,M,1.07676907076009,1.73289530920395,K,0.0307418157212656
1475,301959,300229,300231,02,122,02122,AK,US,8,ARR,,,,,,,,,,,,ALASKA,SEWARD,MAIN LINE,,D,C,1,M,0.556057765670109,0.894890018614634,K,0.0101217753183673
1761,302351,336042,336110,30,027,30027,MT,US,8,CM,,,,,,,,,,,,ROCKY MOUNTAIN,MAIN LINE (CM),NORTHERN MONT.,,T,,1,M,6.37283053952799,10.2560971040003,M,0.124868681130123
1953,302577,336231,336281,30,027,30027,MT,US,8,CM,,,,,,,,,,,,ROCKY MOUNTAIN,MAIN LINE (CM),NORTHERN MONT.,,T,,1,M,3.24544877182434,5.22305395435079,M,0.0563335325977974
2069,302732,336322,336332,30,027,30027,MT,US,8,CM,,,,,,,,,,,,ROCKY MOUNTAIN,MAIN LINE (CM),NORTHERN MONT.,,T,,1,M,1.7120995439957,2.75536263925749,M,0.0333195399139619
